费用会计,大参林医药集团股份有限公司,5000,广州,上市公司,五险一金 免费班车 员工旅游 包住宿 专业培训 绩效奖金 餐饮补贴,2年经验 本科 招1人,10000人以上
总账会计,广州飞特物流有限公司,7000,广州-白云区,民营公司,五险一金 专业培训 带薪年假 绩效奖金 节日福利,2年经验 大专 招若干人,500-1000人
会计客服,广州骏捷财务代理有限公司,5250,广州-增城区,民营公司,年终奖金 绩效奖金 员工旅游 专业培训 出国机会 补充医疗保险 弹性工作 股票期权 通讯补贴 五险一金,1年经验 大专 招2人,150-500人
记账会计（出口退税）,广东大旗商服科技有限公司,8000,广州-越秀区,民营公司,五险一金 专业培训 员工旅游 年终奖金 定期体检 周末双休 带薪年假 健身房 全勤奖 绩效奖金,3-4年经验 大专 招1人,50-150人
会计助理,富顿技术（广州）有限公司,3000,广州-增城区,外资（欧美）,弹性工作 五险一金 节日福利 住房补贴,在校生/应届生 大专 招1人,50-150人
会计,广东添虹交通工程有限公司,5250,广州-天河区,民营公司,周末双休 带薪年假 绩效奖金 全勤奖 节日福利 五险一金 国家节假日 团体活动 年终奖金 工龄奖,2年经验 大专 招1人,150-500人
会计,广州星业科技股份有限公司,7000,异地招聘,民营公司,带薪年假 五险一金 节日福利 交通补贴 餐饮补贴 通讯补贴 全勤奖 周末双休 免费班车 绩效奖金,2年经验 本科 招1人,150-500人
会计（中科实数）,广州中国科学院软件应用技术研究所,7500,广州-南沙区,事业单位,周末双休 免费班车 节日福利 免费宿舍 商业保险,2年经验 本科 招1人,150-500人
财务会计,广东中洲包装材料科技有限公司,5250,广州-增城区,民营公司,员工旅游 专业培训 年终奖金 国家假期 社保 带薪年假 节日福利,1年经验 大专 招1人,150-500人
会计,广东国明生物科技股份有限公司,3750,广州-黄埔区,民营公司,五险一金 提供住宿 弹性工作 专业培训,2年经验 中专 招1人,少于50人
应付会计,广东触电传媒科技有限公司,9500,广州-越秀区,国企,五险一金 弹性工作 年终奖金 专业培训 餐饮补贴 互联网大牛 发展前景优 福利齐全,3-4年经验 本科 招若干人,150-500人
会计助理,广州花城创意产业园投资管理有限公司,3750,广州-番禺区,民营公司,带薪年假 五险一金 绩效奖金 全勤奖 节日福利 专业培训 餐饮补贴 高温补贴 通讯补贴 周末双休,在校生/应届生 本科 招2人,150-500人
日语中级会计,广州市百越实业发展有限公司,10000,异地招聘,民营公司,五险一金 员工旅游 出国机会 绩效奖金 年终奖金,5-7年经验 大专 招1人,150-500人
会计,广东靖安安全评估咨询有限公司,6500,广州,民营公司,周末双休 带薪年假 五险一金 节日福利 专业培训 通讯补贴 餐饮补贴 交通补贴,2年经验 本科 招1人,少于50人
电商会计,佛山市比人家居有限公司,7000,广州-天河区,民营公司,,3-4年经验 大专 招1人,50-150人
成本会计,广州晶佳汽车设备有限公司,5250,广州,民营公司,带薪年假 五险一金 绩效奖金 全勤奖 节日福利 餐饮补贴 加班补贴 住房补贴,3-4年经验 大专 招1人,150-500人
会计,广州天畅信息技术有限公司,7000,广州-天河区,民营公司,做五休二 周末双休 带薪年假 五险一金 节日福利 绩效奖金 交通补贴 通讯补贴,3-4年经验 大专 招1人,50-150人
税务会计,广州迪柯尼服饰股份有限公司,6000,广州-天河区,民营公司,五险一金 餐饮补贴 绩效奖金 定期体检,2年经验 大专 招若干人,500-1000人
财务会计（工程建筑  双休）,福建省锦秋建筑工程有限公司广州分公司,12500,广州,民营公司,五险一金 员工旅游 通讯补贴 绩效奖金,8-9年经验 大专 招1人,150-500人
总账会计（深圳公司）,广州洋葱时尚集团有限公司,10000,广州-天河区,民营公司,平台大 团队氛围好 领导大牛 奖励丰富,3-4年经验 本科 招若干人,500-1000人
成本会计/工厂会计,广州佰柔卫生用品有限公司,10500,广州,民营公司,五险一金 员工旅游 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 定期体检,3-4年经验 本科 招1人,50-150人
会计,广州云联科技开发有限公司,5000,广州-花都区,民营公司,五险一金 绩效奖金 年终奖金 员工旅游 全勤奖 带薪年假 节日福利 下午茶,2年经验 大专 招1人,50-150人
内帐会计,广东能胜实业有限公司,6000,广州-海珠区,民营公司,带薪年假 节日福利 餐饮补贴 专业培训 员工旅游 定期体检 绩效奖金 年终奖金 补充医疗保险,2年经验 大专 招若干人,50-150人
会计（急招）,广州国之源商贸有限公司,5250,广州-天河区,民营公司,绩效奖金 通讯补贴 年终奖金 节日福利 加班补贴 带薪年假 社保 员工旅游,3-4年经验 大专 招2人,50-150人
会计,广东里德设计事务所有限公司,5000,广州-海珠区,民营公司,五险一金 补充医疗保险 补充公积金 绩效奖金 年终奖金 弹性工作 周末双休 领导nice 员工旅游,2年经验 大专 招1人,50-150人
财务会计专员,广州汇盛投资管理中心（有限合伙）,5250,广州,民营公司,五险一金 专业培训 定期体检,1年经验 本科 招1人,少于50人
出纳兼销售会计,美迪科包装印刷（广州）有限公司,5250,广州,外资（欧美）,加班补贴 周末双休 包吃 带薪年假 五险一金 住房补贴,2年经验 大专 招1人,50-150人
会计助理,果然优-广州纯简网络科技有限公司,4050,广州-白云区,民营公司,专业培训 弹性工作 绩效奖金 员工旅游 定期体检,1年经验 大专 招1人,150-500人
总账会计,广州民营投资股份有限公司,7000,广州-天河区,民营公司,,3-4年经验 大专 招若干人,少于50人
会计主管,广州凯拓机械设备有限公司,9000,广州-黄埔区,民营公司,,5-7年经验 本科 招若干人,50-150人
会计,广州欣美向贸易有限公司,4750,广州-白云区,民营公司,五险 全勤奖 节日福利 专业培训 带薪年假,1年经验 大专 招1人,50-150人
财务会计,广州雷佳增材科技有限公司,7000,广州-天河区,民营公司,五险一金 员工旅游 专业培训 住房补贴,2年经验 大专 招2人,少于50人
财务会计,肇庆科达轻钢房屋系统有限公司,7000,广州-白云区,民营公司,社保 包午餐 员工旅游 年终奖金,5-7年经验 大专 招若干人,150-500人
财务会计,广州市富斯特装饰工程有限公司,7000,广州-黄埔区,民营公司,带薪年假 节日福利 餐饮补贴 年终奖金 员工旅游 绩效奖金 全勤奖 五险 通讯补贴,2年经验 大专 招1人,50-150人
全盘会计,广州市镒辰智造科技有限公司,5250,广州,民营公司,五险一金 包吃 节日福利 带薪年假 加班补贴,3-4年经验 大专 招1人,500-1000人
成本会计,广州市信百食品有限公司,6000,广州-番禺区,民营公司,包吃 五险一金 员工旅游,1年经验 大专 招2人,50-150人
总账会计,广州市一速汽车租赁有限公司,6500,广州-白云区,民营公司,带薪年假 节日福利 餐饮补贴 五险一金 户外拓展,5-7年经验 大专 招1人,500-1000人
会计,广州百立生实业有限公司,5250,广州-黄埔区,民营公司,五险一金,5-7年经验 大专 招1人,150-500人
总账会计,广州市在舟环保科技有限公司,7000,广州-番禺区,民营公司,社保 团队聚餐 全勤奖 绩效奖金 节日福利 带薪年假,3-4年经验 大专 招1人,50-150人
会计经理,广东梵大集团有限公司,12500,广州-白云区,民营公司,社保五险 专业培训 绩效奖金 员工旅游 年终奖金 节日福利 定期体检,5-7年经验 大专 招1人,150-500人
财务会计（税务）（广州）,高金富恒集团有限公司,7000,广州,民营公司,,在校生/应届生 本科 招1人,
财务会计专员,广州三十二号国际旅行社有限公司,6000,广州-天河区,创业公司,员工旅游 弹性工作 定期体检 年终奖金 扁平管理 周末双休 五险一金,1年经验 本科 招1人,50-150人
法务会计,广州市泰迪熊婴幼儿用品有限公司,12500,广州-番禺区,民营公司,节日福利 带薪年假 年终奖 绩效奖金 五险一金 双休,5-7年经验 本科 招1人,500-1000人
总账会计（周末双休 五险一金）,新励成教育科技股份有限公司,7000,广州-海珠区,民营公司,五险一金 员工旅游 交通补贴 餐饮补贴 绩效奖金 年终奖金 专业培训 节日福利 全勤奖 周末双休,3-4年经验 大专 招1人,150-500人
服装会计,广州市嘉泰然服饰有限公司,4500,广州-番禺区,民营公司,专业培训 弹性工作 员工旅游 补充医疗保险 通讯补贴 包吃 包住宿,3-4年经验 中专 招若干人,150-500人
财务总帐（制造业/工厂会计）,�嗵剞保ㄖ泄�）有限公司,7000,广州,合资,节日福利 专业培训,3-4年经验 大专 招若干人,50-150人
会计,蒙牛广州分公司,4600,广州-黄埔区,民营公司,带薪年假 五险一金 绩效奖金 节日福利,1年经验 大专 招2人,150-500人
会计-出�{,广州璨宇光学有限公司,4500,广州-黄埔区,外资（非欧美）,周末双休 五险一金 带薪年假 绩效奖金 加班补贴,1年经验 大专 招1人,1000-5000人
税务会计岗,广州首开至泰置业有限公司,9000,广州-天河区,国企,五险一金 周末双休 定期体检,3-4年经验 本科 招1人,50-150人
会计,广州弓博汽车零部件科技有限公司,6500,广州-越秀区,民营公司,员工旅游 专业培训 年终奖金 绩效奖金 节日福利 全勤奖 周末双休 五险一金,3-4年经验 大专 招若干人,少于50人
项目经理/注册会计师/中级会计师,广州市光领有限责任会计师事务所,8000,广州-越秀区,民营公司,五险一金 专业培训 绩效奖金 年终奖金 员工旅游 定期体检 交通补贴 餐饮补贴 弹性工作,1年经验 本科 招3人,50-150人
财务会计（广州番禺）,广州凌天体育产业有限公司,5250,广州-番禺区,民营公司,五险一金 包吃 包住宿 绩效奖金 全勤奖 节日福利 专业培训 带薪年假 休一天半,2年经验 大专 招1人,50-150人
中级会计师,护道者网络科技有限公司,6000,广州-白云区,民营公司,员工旅游 餐饮补贴 年终奖金 单双休 专业培训 法定节假日 下午茶,2年经验 大专 招1人,少于50人
会计,广州市环境保护技术设备有限公司,7500,广州-白云区,国企,五险一金 绩效奖金 定期体检 年终奖金 员工旅游 节日福利 5天8小时,3-4年经验 本科 招2人,50-150人
会计,广州市铧美园林工程设计有限公司,5250,广州,民营公司,五险 员工旅游 弹性工作 补充医疗保险 带薪年假 节日福利,3-4年经验 大专 招1人,150-500人
成本会计,广州宏众国际货运代理有限公司,3750,广州-黄埔区,民营公司,员工旅游 餐饮补贴 年终奖金 定期体检,2年经验 大专 招1人,少于50人
财务会计,徐工集团挖掘机械,6000,广州,民营公司,带薪年假 节日福利 专业培训 通讯补贴 社保 年终奖金 员工旅游 弹性工作,1年经验 大专 招若干人,150-500人
电商会计/应收应付会计,广州野鹰电子科技有限公司,5500,广州-白云区,民营公司,带薪年假 节日福利 专业培训 全勤奖 绩效奖金 社保 环境良好 氛围融洽,2年经验 大专 招2人,50-150人
建筑会计,广州立龙达装饰设计工程有限公司,5250,广州-南沙区,民营公司,餐饮补贴 通讯补贴 绩效奖金 交通补贴,3-4年经验 中专 招2人,少于50人
总账会计,鑫苑（中国）置业有限公司-广东区域公司,12500,广州-天河区,民营公司,五险一金 专业培训 绩效奖金 餐饮补贴 通讯补贴,3-4年经验 本科 招若干人,少于50人
全盘会计,广州市凯泽利科技有限公司,5250,广州-天河区,民营公司,五险一金 员工旅游 周末双休 交通补贴 餐饮补贴 通讯补贴 专业培训,招1人,50-150人
税务会计（双休）,广东眼管家医疗有限责任公司,8000,广州-海珠区,民营公司,员工旅游 专业培训 绩效奖金 年终奖金 周末双休,5-7年经验 大专 招若干人,150-500人
财务会计专员,广州市哈雅光电设备有限公司,6500,广州,民营公司,包吃 带薪年假 全勤奖 节日福利 住房补贴 做六休一 绩效奖金 加班补贴 弹性工作,5-7年经验 大专 招1人,50-150人
会计,广州市白云化工实业有限公司,10500,广州-白云区,民营公司,绩效奖金 年终奖金 员工旅游 专业培训 五险一金 免费班车 餐饮补贴 周末双休 交通补贴,本科 招1人,150-500人
注册会计师/注册税务师,广州名瑞会计师事务所有限公司,14583,广州-花都区,民营公司,带薪年假 五险一金 包二餐 节日福利 公司旅游 法定节假日 周末双休,招4人,少于50人
会计实习生,广州谱恩科学仪器有限公司,3000,广州-天河区,民营公司,专业培训 员工旅游 绩效奖金 国家节假日 带薪年假 五险 节日福利,在校生/应届生 大专 招1人,50-150人
会计助理,广东奥拓夫精密智能制造有限公司,5250,广州-黄埔区,合资,五险一金 补充医疗保险 员工旅游 专业培训 股票期权 年终奖金 绩效奖金 餐饮补贴,3-4年经验 大专 招2人,少于50人
总账会计,广州洛美洁具有限公司,6500,广州-从化区,民营公司,五险一金 员工旅游 年终奖金 包住宿 包三餐 周日休息 全勤奖 节日福利,3-4年经验 大专 招1人,50-150人
会计教师,广东华文航空艺术职业学校,5250,广州-花都区,民营公司,周末双休 社会保险,1年经验 本科 招1人,150-500人
总账会计,宜堡斯(广州)箱包科技有限公司,7150,广州-白云区,民营公司,带薪年假 绩效奖金 全勤奖 餐饮补贴 免费班车 社保 大小周休,5-7年经验 大专 招1人,150-500人
会计,广州龙之韵舞蹈有限公司,4250,广州-番禺区,上市公司,做五休二 包住宿 绩效奖金 餐饮补贴 带薪年假 购买五险 年终奖金,1年经验 大专 招1人,50-150人
会计,广州踔宇财税咨询有限公司,3250,广州-天河区,民营公司,做五休二 周末双休 带薪年假 全勤奖 交通补贴 餐饮补贴 通讯补贴 高温补贴,大专 招2人,少于50人
会计/会计助理,广州麻吉服饰有限公司,4750,广州,民营公司,带薪年假 全勤奖 大小周 可申请住宿,2年经验 大专 招1人,150-500人
会计,广州保易信息科技有限公司,7000,广州-天河区,民营公司,周末双休 带薪年假 节日福利 绩效奖金 弹性工作 医保社保,3-4年经验 本科 招1人,50-150人
注册会计师  /  税务师,广州市忠雄会计师事务所（普通合伙）,15000,广州-海珠区,民营公司,周末双休 带薪年假 绩效奖金 五险一金 包住宿 定期体检 员工旅游 专业培训 节日福利 出国机会,5-7年经验 大专 招6人,50-150人
会计,广东华云铝业发展有限公司,4500,广州-黄埔区,民营公司,包三餐 包住宿,3-4年经验 中专 招1人,500-1000人
会计（双休五险）,广州市诚屹进出口有限公司,6750,广州-黄埔区,民营公司,五险一金 弹性工作 餐饮补贴 绩效奖金 年终奖金 员工旅游 周末双休 带薪年假 节日福利 全勤奖,1年经验 大专 招若干人,50-150人
会计,广东圣约翰服饰股份有限公司,5250,广州,民营公司,,3-4年经验 招1人,150-500人
会计,广州东胤纺织有限公司,6000,广州-天河区,外资（非欧美）,,2年经验 大专 招1人,少于50人
会计实习生,共享会计有限公司,2750,广州,民营公司,带薪年假 五险一金 全勤奖 绩效奖金 高温补贴 通讯补贴,无需经验 中专 招3人,50-150人
成本会计,广州酒家集团利口福食品有限公司,5000,广州-番禺区,国企,五险一金 定期体检 员工旅游 专业培训,1年经验 本科 招1人,1000-5000人
