投顾讲师（国企）,广东广播电视台越声理财公司,9000,广州-天河区,国企,员工旅游 各种福利 五险一金,1年经验 本科 招3人,150-500人
财务管培生,广西太古可口可乐饮料有限公司,5250,广州,合资,,在校生/应届生 本科 招5人,
推广运营,广州赛美优品生物科技有限公司,12500,广州-白云区,民营公司,,3-4年经验 大专 招1人,少于50人
高端保险规划师/经纪人,明亚保险经纪股份有限公司广东分公司,22500,广州-天河区,民营公司,五险一金 弹性工作 周末双休 绩效奖金 节日福利 专业培训,8-9年经验 本科 招29人,5000-10000人
资料财务经理,广州市罄羽投资有限公司,13500,广州-天河区,民营公司,带薪年假 完善晋升制度 五险一金 周末双休 免费零食 十三薪 生日派对 定期体检 弹性工作,8-9年经验 本科 招若干人,150-500人
财务总监,广州速道信息科技有限公司,30000,广州-海珠区,民营公司,餐饮补贴 五险一金 带薪年假 周末双休 发展空间大,8-9年经验 本科 招1人,1000-5000人
网络推广/信息流优化师（头条+二类电商）,广州鸿运来茶业有限公司,9000,广州-天河区,民营公司,包吃 全勤奖 绩效奖金 节日福利 五险一金 带薪年假 加班补贴,2年经验 大专 招2人,50-150人
财务会计,广州市诺飞云网络科技有限公司,10000,广州-天河区,民营公司,,1年经验 大专 招1人,50-150人
Tax Specialist-Senior (APAC),联邦快递（中国）有限公司,13500,广州-天河区,外资（欧美）,五险一金 补充医疗保险 专业培训 出国机会 年终奖金 绩效奖金 弹性工作 定期体检,5-7年经验 本科 招1人,5000-10000人
财务副总监,广东道一信息技术股份有限公司,27500,广州-天河区,民营公司,五险一金 员工旅游 年终奖金 绩效奖金 专业培训 餐饮补贴 定期体检,5-7年经验 本科 招1人,1000-5000人
财务经理（双休）,广州洛克韦陀安防科技有限公司,17500,广州-天河区,民营公司,,8-9年经验 大专 招1人,50-150人
财务副总经理,韵洪传播科技（广州）有限公司,21000,广州-越秀区,国企,五险一金,5-7年经验 本科 招1人,150-500人
副总经理,和合期货,17500,广州-天河区,民营公司,五险一金 员工旅游 专业培训 出国机会 绩效奖金 弹性工作 年终奖金,5-7年经验 大专 招2人,150-500人
国际学校双语财务主管,珠海横琴博实乐管理咨询有限公司,10000,广州-增城区,上市公司,五险一金 定期体检 通讯补贴 餐饮补贴 节假日福利 住房补贴,5-7年经验 本科 招1人,10000人以上
财务经理,德高信控股集团有限公司,21666,广州-越秀区,民营公司,五险一金 专业培训 通讯补贴 定期体检 年终奖金 正装补贴 晋升空间大 企业文化好 带薪年假 绩效奖金,8-9年经验 本科 招1人,150-500人
审计助理,天职国际会计师事务所（特殊普通合伙）,5250,广州-天河区,民营公司,五险一金 通讯补贴 专业培训 绩效奖金 员工旅游,在校生/应届生 本科 招5人,500-1000人
财务经理,广州美年大健康医疗技术有限公司,12500,广州-天河区,上市公司,五险一金 餐饮补贴 年终奖金 定期体检 带薪年假 周末双休,8-9年经验 本科 招1人,500-1000人
